Chapter,Title,Volume,Arc
887,Someone Somewhere Is Wishing for Your Happiness,Volume 88,Whole Cake Island Arc Chapters
888,Lion,Volume 88,Whole Cake Island Arc Chapters
889,Unfamiliar Mama,Volume 88,Whole Cake Island Arc Chapters
890,Big Mom on the Ship,Volume 89,Whole Cake Island Arc Chapters
891,They Believe in Me,Volume 89,Whole Cake Island Arc Chapters
892,Threat Confirmed,Volume 89,Whole Cake Island Arc Chapters
893,"Flampe, 36th Daughter of Charlotte",Volume 89,Whole Cake Island Arc Chapters
894,12:05,Volume 89,Whole Cake Island Arc Chapters
895,Luffy the Pirate vs. General Katakuri,Volume 89,Whole Cake Island Arc Chapters
896,One Last Thing,Volume 89,Whole Cake Island Arc Chapters
897,Pekoms's Cacao Island Escape Plan,Volume 89,Whole Cake Island Arc Chapters
898,I Will Return,Volume 89,Whole Cake Island Arc Chapters
899,The Final Fortress,Volume 89,Whole Cake Island Arc Chapters
900,Bad End Musical,Volume 89,Whole Cake Island Arc Chapters
901,Don't Let Even Death Stop You!!!,Volume 90,Whole Cake Island Arc Chapters
902,End Roll,Volume 90,Whole Cake Island Arc Chapters
903,Fifth Emperor,Volume 90,Levely Arc Chapters
904,Introducing the Revolutionary Army Captains,Volume 90,Levely Arc Chapters
905,What a Beautiful World,Volume 90,Levely Arc Chapters
906,Sacred Marijoa,Volume 90,Levely Arc Chapters
907,The Empty Throne,Volume 90,Levely Arc Chapters
908,The Reverie Begins,Volume 90,Levely Arc Chapters
909,Seppuku,Volume 90,Wano Country Arc Chapters
910,Onward to Wano,Volume 90,Wano Country Arc Chapters
911,Adventure in the Land of Samurai,Volume 91,Wano Country Arc Chapters
912,Amigasa Village,Volume 91,Wano Country Arc Chapters
913,The Crane Returns the Favor,Volume 91,Wano Country Arc Chapters
914,Okobore Town,Volume 91,Wano Country Arc Chapters
915,Bakura Town,Volume 91,Wano Country Arc Chapters
916,Wano Sumo,Volume 91,Wano Country Arc Chapters
917,Food Treasure Barge,Volume 91,Wano Country Arc Chapters
918,Luffytaro Returns the Favor,Volume 91,Wano Country Arc Chapters
919,The Ruins of Oden Castle,Volume 91,Wano Country Arc Chapters
920,For Love of Oden,Volume 91,Wano Country Arc Chapters
921,Shutenmaru,Volume 91,Wano Country Arc Chapters
922,Supreme Commander Kaido of the Animal Kingdom Pirates,Volume 92,Wano Country Arc Chapters
923,Emperor of the Sea Kaido vs. Luffy,Volume 92,Wano Country Arc Chapters
924,Huh,Volume 92,Wano Country Arc Chapters
925,Absence,Volume 92,Wano Country Arc Chapters
926,Excavation Labor Camp,Volume 92,Wano Country Arc Chapters
927,Otoko the Kamuro,Volume 92,Wano Country Arc Chapters
928,Introducing Komurasaki the Oiran,Volume 92,Wano Country Arc Chapters
929,"Shogun of Wano, Kurozumi Orochi",Volume 92,Wano Country Arc Chapters
930,Ebisu Town,Volume 92,Wano Country Arc Chapters
931,Soba Mask,Volume 92,Wano Country Arc Chapters
932,Shogun and Oiran,Volume 93,Wano Country Arc Chapters
933,A Warrior's Mercy,Volume 93,Wano Country Arc Chapters
934,Hyogoro the Flower,Volume 93,Wano Country Arc Chapters
935,Queen,Volume 93,Wano Country Arc Chapters
936,Sumo Inferno,Volume 93,Wano Country Arc Chapters
937,Gyukimaru on Bandit's Bridge,Volume 93,Wano Country Arc Chapters
938,A Woman's Secret,Volume 93,Wano Country Arc Chapters
939,The Old Leopard Never Forgets the Way,Volume 93,Wano Country Arc Chapters
940,Sparks of Rebellion,Volume 93,Wano Country Arc Chapters
941,The Star of Ebisu,Volume 93,Wano Country Arc Chapters
942,"Daimyo of Hakumai, Shimotsuki Yasuie",Volume 93,Wano Country Arc Chapters
943,Smile,Volume 94,Wano Country Arc Chapters
944,Partner,Volume 94,Wano Country Arc Chapters
945,Olin,Volume 94,Wano Country Arc Chapters
946,Queen vs. Olin,Volume 94,Wano Country Arc Chapters
947,Queen's Gamble,Volume 94,Wano Country Arc Chapters
948,Introducing Kawamatsu the Kappa,Volume 94,Wano Country Arc Chapters
949,Mummy,Volume 94,Wano Country Arc Chapters
950,A Soldier's Dream,Volume 94,Wano Country Arc Chapters
951,Rampage,Volume 94,Wano Country Arc Chapters
952,Hiyori and Kawamatsu,Volume 94,Wano Country Arc Chapters
953,Once a Fox,Volume 94,Wano Country Arc Chapters
954,Like a Dragon Given Wings,Volume 95,Wano Country Arc Chapters
955,Enma,Volume 95,Wano Country Arc Chapters
956,Big News,Volume 95,Wano Country Arc Chapters
957,Ultimate,Volume 95,Wano Country Arc Chapters
958,The Promised Port,Volume 95,Wano Country Arc Chapters
959,Samurai,Volume 95,Wano Country Arc Chapters
960,Introducing Kozuki Oden,Volume 95,Wano Country Arc Chapters
961,The Mountain God Incident,Volume 95,Wano Country Arc Chapters
962,Daimyo and Vassals,Volume 95,Wano Country Arc Chapters
963,Becoming Samurai,Volume 95,Wano Country Arc Chapters
964,Oden's Adventure,Volume 95,Wano Country Arc Chapters
965,The Kurozumi Clan's Plot,Volume 96,Wano Country Arc Chapters
966,Roger and Whitebeard,Volume 96,Wano Country Arc Chapters
967,Roger's Adventure,Volume 96,Wano Country Arc Chapters
968,Oden's Return,Volume 96,Wano Country Arc Chapters
969,Fool of a Lord,Volume 96,Wano Country Arc Chapters
970,Oden vs. Kaido,Volume 96,Wano Country Arc Chapters
971,Sentenced to Boil,Volume 96,Wano Country Arc Chapters
972,"I Am Oden, and I Was Born to Boil",Volume 96,Wano Country Arc Chapters
973,The Kozuki Clan,Volume 96,Wano Country Arc Chapters
974,Onward to Onigashima!!,Volume 96,Wano Country Arc Chapters
975,Kin'emon's Clever Trick,Volume 97,Wano Country Arc Chapters
976,Begging Your Pardon!!!,Volume 97,Wano Country Arc Chapters
977,The Party's Off!!!,Volume 97,Wano Country Arc Chapters
978,Introducing the Tobi Roppo,Volume 97,Wano Country Arc Chapters
979,Family Problem,Volume 97,Wano Country Arc Chapters
980,Fighting Music,Volume 97,Wano Country Arc Chapters
981,Joining the Fight,Volume 97,Wano Country Arc Chapters
982,Scoundrel Meets Scoundrel,Volume 97,Wano Country Arc Chapters
983,Thunder,Volume 97,Wano Country Arc Chapters
984,My Bible,Volume 97,Wano Country Arc Chapters
985,New Onigashima Project,Volume 98,Wano Country Arc Chapters
986,My Name,Volume 98,Wano Country Arc Chapters
987,Vassals of Glory,Volume 98,Wano Country Arc Chapters
988,Sorry for the Wait,Volume 98,Wano Country Arc Chapters
989,I Can't Imagine Losing,Volume 98,Wano Country Arc Chapters
990,Army of One,Volume 98,Wano Country Arc Chapters
991,Let Us Die!!!,Volume 98,Wano Country Arc Chapters
992,Remnants,Volume 98,Wano Country Arc Chapters
993,The Dream of Wano,Volume 98,Wano Country Arc Chapters
994,My Other Name Is Yamato,Volume 98,Wano Country Arc Chapters
995,A Kunoichi's Oath,Volume 99,Wano Country Arc Chapters
996,Island of the Strongest,Volume 99,Wano Country Arc Chapters
997,Flame Clouds,Volume 99,Wano Country Arc Chapters
998,Ancient Types,Volume 99,Wano Country Arc Chapters
999,The Sake I Brewed to Drink With You,Volume 99,Wano Country Arc Chapters
1000,Straw Hat Luffy,Volume 99,Wano Country Arc Chapters
1001,Battle of Monsters on Onigashima,Volume 99,Wano Country Arc Chapters
1002,Four Emperors vs. New Generation,Volume 99,Wano Country Arc Chapters
1003,Night on the Board,Volume 99,Wano Country Arc Chapters
1004,Millet Dumplings,Volume 99,Wano Country Arc Chapters
1005,Demon Child,Volume 100,Wano Country Arc Chapters
1006,The Honorable Hyogoro the Flower,Volume 100,Wano Country Arc Chapters
1007,Mr. Raccoon Dog,Volume 100,Wano Country Arc Chapters
1008,"Leader of the Atamayama Thieves Brigade, Ashura Doji",Volume 100,Wano Country Arc Chapters
1009,Naraku,Volume 100,Wano Country Arc Chapters
1010,Color of the Supreme King,Volume 100,Wano Country Arc Chapters
1011,The Code of Sweet Beans,Volume 100,Wano Country Arc Chapters
1012,Itch,Volume 100,Wano Country Arc Chapters
1013,Anarchy in the B.M. (Big Mom),Volume 100,Wano Country Arc Chapters
1014,The Ham,Volume 100,Wano Country Arc Chapters
1015,Chains,Volume 100,Wano Country Arc Chapters
1016,"It's Me, Otama!!",Volume 101,Wano Country Arc Chapters
1017,The Order,Volume 101,Wano Country Arc Chapters
1018,Jimbei vs. Who's-Who,Volume 101,Wano Country Arc Chapters
1019,Heliceratops,Volume 101,Wano Country Arc Chapters
1020,Robin vs. Black Maria,Volume 101,Wano Country Arc Chapters
1021,Demonio,Volume 101,Wano Country Arc Chapters
1022,The Stars Take the Stage,Volume 101,Wano Country Arc Chapters
1023,Spitting Image,Volume 101,Wano Country Arc Chapters
1024,So-and-So,Volume 101,Wano Country Arc Chapters
1025,Twin Dragons,Volume 101,Wano Country Arc Chapters
1026,The Pivotal Clash,Volume 102,Wano Country Arc Chapters
1027,Danger Beyond Imagining,Volume 102,Wano Country Arc Chapters
1028,Brachiosnakeus,Volume 102,Wano Country Arc Chapters
1029,The Tower,Volume 102,Wano Country Arc Chapters
1030,Echoing the Impermanence of All Things,Volume 102,Wano Country Arc Chapters
1031,Warrior of Science,Volume 102,Wano Country Arc Chapters
1032,Oden's Beloved Blade,Volume 102,Wano Country Arc Chapters
1033,Shimotsuki Kozaburo,Volume 102,Wano Country Arc Chapters
1034,Sanji vs. Queen,Volume 102,Wano Country Arc Chapters
1035,Zolo Vs. King,Volume 102,Wano Country Arc Chapters
1036,Bushido is the Way of Death,Volume 103,Wano Country Arc Chapters
1037,Drunken Dragon Bagua,Volume 103,Wano Country Arc Chapters
1038,Kid & Law vs. Big Mom,Volume 103,Wano Country Arc Chapters
1039,Top Billing,Volume 103,Wano Country Arc Chapters
1040,Wasted Words on Young Ears,Volume 103,Wano Country Arc Chapters
1041,Komurasaki,Volume 103,Wano Country Arc Chapters
1042,The Victor Needs No Epithet,Volume 103,Wano Country Arc Chapters
1043,Let's Face Death Together!!!,Volume 103,Wano Country Arc Chapters
1044,Warrior of Liberation,Volume 103,Wano Country Arc Chapters
1045,Next Level,Volume 103,Wano Country Arc Chapters
1046,Raizo,Volume 103,Wano Country Arc Chapters
1047,The Sky Over the Capital,Volume 104,Wano Country Arc Chapters
1048,Twenty Years,Volume 104,Wano Country Arc Chapters
1049,The World That Should Be,Volume 104,Wano Country Arc Chapters
1050,Honor,Volume 104,Wano Country Arc Chapters
1051,"Shogun of Wano, Kozuki Momonosuke",Volume 104,Wano Country Arc Chapters
1052,A New Morning,Volume 104,Wano Country Arc Chapters
1053,New Emperors,Volume 104,Wano Country Arc Chapters
1054,Flame Emperor,Volume 104,Wano Country Arc Chapters
1055,The New Era,Volume 104,Wano Country Arc Chapters
1056,Cross Guild,Volume 105,Wano Country Arc Chapters
1057,The End,Volume 105,Wano Country Arc Chapters
1058,New Emperors,Volume 105,Egghead Arc Chapters
1059,The Matter Involving Captain Koby,Volume 105,Egghead Arc Chapters
1060,Luffy's Dream,Volume 105,Egghead Arc Chapters
1061,Future Island Egghead,Volume 105,Egghead Arc Chapters
1062,Adventure in the Land of Science,Volume 105,Egghead Arc Chapters
1063,My Only Family,Volume 105,Egghead Arc Chapters
1064,Egghead Labophase,Volume 105,Egghead Arc Chapters
1065,Six Vegapunks,Volume 105,Egghead Arc Chapters
1066,The Will of Ohara,Volume TBA,Egghead Arc Chapters
1067,Punk Records,Volume TBA,Egghead Arc Chapters
1068,A Genius's Dream,Volume TBA,Egghead Arc Chapters
1069,All Things Are Brought Into This World With Hope,Volume TBA,Egghead Arc Chapters
1070,The Strongest Form of Humanity,Volume TBA,Egghead Arc Chapters
1071,The Hero Deploys,Volume TBA,Egghead Arc Chapters
1072,The Weight of Memory,Volume TBA,Egghead Arc Chapters
1073,Miss Buckingham Stussy,Volume TBA,Egghead Arc Chapters
1074,Mk. III,Volume TBA,Egghead Arc Chapters
1075,Labophase Death Game,Volume TBA,Egghead Arc Chapters
1076,Old Friends,Volume TBA,Egghead Arc Chapters
1077,Should Have Noticed Sooner,Volume TBA,Egghead Arc Chapters
1078,Escape Limit,Volume TBA,Egghead Arc Chapters
1079,"The Emperor's Crew, The Red-Haired Pirates",Volume TBA,Egghead Arc Chapters
1080,The Hero of Legend,Volume TBA,Egghead Arc Chapters
1081,"Tenth Ship Captain of the Blackbeard Pirates, Kuzan",Volume TBA,Egghead Arc Chapters
1082,Let's Go and Take It!!,Volume TBA,Egghead Arc Chapters
